funlo_rollup_desc,EMAIL_THEME,DEPARTMENT,Unique Guids,Unique Households,THEME_SENT,THEME_OPEN,THEME_CLICK,THEME_UNSUBSCRIBE,theme_open_rate,theme_click_rate,DEPT_SENT,DEPT_OPEN,DEPT_CLICK,DEPT_UNSUBSCRIBE,dept_open_rate,dept_click_rate
New Households,Best Customer,Grocery,2722397,2634487,1285822224,543057771,19359976,1342148,0.4223428098097642,0.015056495088235464,182205783,77240248,3138655,108903,0.4239176535906108,0.01722588025650097
New Households,Weekly Specials,Pharmacy,3867961,3718520,2254060048,839468034,22816906,1288915,0.37242487605636315,0.010122581259645307,2040669127,743576776,19624787,1658802,0.3643789020776419,0.009616839271171077
Opportunity,Holiday, Fresh,3780886,3476372,98313754,37001256,690469,27717,0.3763588968436705,0.0070231170299935855,562479324,253774776,21107989,271274,0.45117174120341536,0.03752669315894712
New Households,Sale - Prie,No Department,1000177,972395,19656829,8364083,279297,17774,0.4255052022887313,0.014208649828515068,4199688,1899351,45343,1696,0.45226002503043083,0.010796754425566851
Opportunity,Best Customer,No Department,4202883,3783711,2893879952,1203554170,114949762,2711267,0.41589637094939175,0.039721676056588544,1793493395,750237628,46632816,550860,0.4183107839100796,0.026001108300708294
Loyal,Sale - Digital Coupon,Multi Department,5069457,4476863,592778347,288992237,41370336,402584,0.4875215811484423,0.06979056541010935,1812589720,955708446,110190206,314271,0.5272613186838553,0.06079158718830205
New Households,Services,Grocery,3061138,2956608,1572390562,603093118,17880116,1546467,0.3835517285431277,0.011371294404907526,780693598,312304836,9579600,589944,0.4000350928969703,0.012270627073849785
New Households,Sale - Fuel,No Department,953515,920049,42293998,17525401,627377,30407,0.4143708759810316,0.014833712339041582,4687976,1828410,74255,2641,0.39002119464775414,0.015839458222482367
Loyal,Seasonal,General Merchandise,5852321,5021175,4546726768,1975695321,67082637,1533591,0.43453135009233523,0.014754050644109434,3502051203,1442802211,140015266,2545249,0.41198775442347524,0.03998093057007768
Non-Loyal,Services,General Merchandise,7316011,6804959,4483626140,1472326627,58275717,3949707,0.32837854473745215,0.012997452325496523,5339320562,2203128873,85856518,3857148,0.4126234503842476,0.01608004557940232
Non-Loyal,Best Customer,Fuel,4068092,3848542,125033519,61154481,4427746,70585,0.48910469359820224,0.035412472074788204,68002853,30857043,3871572,40896,0.45376100617425563,0.056932493699933445
New Households,Ecommerce,Pharmacy,1813274,1748885,139630833,62097947,1966581,123933,0.44472947461396295,0.014084145727326572,582390872,229733336,6790624,381457,0.3944658940327622,0.01165990802136061
Loyal,Diigital Coupons,Fresh,4869693,4342855,98864210,48688413,7212980,59071,0.49247764180788983,0.07295845483416091,44307729,21324780,824994,10843,0.48128803893334277,0.01861964083060994
Loyal,Services,No Department,5729486,4911825,3396526608,1248226757,93649742,1685517,0.3675009505475365,0.027572209144312996,5672055694,2531572186,213842901,1388556,0.446323576948996,0.03770112857428512
Non-Loyal,Ecommerce,Multi Department,7718710,7123604,6079503792,2132458498,84310428,8490619,0.35076193238107617,0.013867978520046953,34830629352,14896543050,641870480,13713177,0.4276851531867204,0.01842833425469366
Non-Loyal,Sale - Price & Item,Produce,7028836,6571484,113812506,50209468,1454642,57519,0.44115949788505665,0.012781038315771731,679174017,294882996,13270998,495603,0.43417885345870055,0.01953990828244538
New Households,Holiday,Grocery,3063863,2963444,636304192,252048629,5749920,554874,0.39611341897304364,0.009036432687842485,737927062,237828925,7131745,636756,0.3222932688705215,0.0096645662793161
Loyal,Sale - Fuel Points,General Merchandise,5787626,4975408,3082388427,1187657452,144178522,1885234,0.3853042794985812,0.046774936194632945,3108440330,1386044002,134909205,1681489,0.44589693056774876,0.043400931231644395
Loyal,Services,Pharmacy,5460881,4743854,958707309,367210563,25731642,221444,0.38302676901777954,0.026839935148549075,2708519993,1048575275,111964486,1403370,0.3871395735346156,0.041337884264973195
New Households,Weekly Specials,HBC,4020502,3865677,6754148398,2538183831,68843316,4073795,0.37579627829195944,0.010192745545890803,5604857273,2058704745,53566122,4863478,0.36730725596123487,0.009557089394236926
Opportunity,Diigital Coupons,Pharmacy,1423648,1318895,31906566,18270194,2312371,14753,0.5726154923723223,0.07247320191085434,2550860,410788,16795,606,0.16103902213371177,0.006584054005315854
Loyal,Seasonal,Adult Beverage,5038415,4483584,153928393,64040493,1524497,38026,0.41604080801389254,0.009903936306279764,627440119,315711062,39082389,206226,0.5031732151638203,0.0622886357064458
Loyal,Sale - Fuel,HBC,4579745,4082011,213209424,103192668,14591057,128133,0.48399674866154135,0.06843532863725574,37340294,18442584,747564,7675,0.49390569876070073,0.02002030300029239
Non-Loyal,Best Customer ,Gift Cards,599935,540976,15023237,7977455,708757,10861,0.531007731556122,0.047177382610685034,1816889,902132,52407,430,0.49652565456667963,0.02884435978202301
Loyal,Holiday, Fresh,5070762,4482392,123746705,49376584,1154565,26607,0.3990133232234345,0.009330066606621971,772460021,372934604,45065434,299796,0.4827882270427559,0.05834015065486477
Non-Loyal,Holiday,Produce,6479552,6113342,92733232,33615444,489692,31280,0.36249619769534186,0.005280652786910306,462780938,198008517,9023630,287472,0.4278666227172909,0.019498707183138127
Non-Loyal,Sale - Price & Item,Fresh,7296226,6797315,4158153727,1733114163,49764909,2249757,0.4167989633828177,0.011968030108377953,4709755930,1713390710,51928240,3226514,0.3637960725493476,0.011025675379318435
Loyal,Weekly Specials,HBC,6006626,5098889,15271878206,6866269984,895684545,3579939,0.4496021963626181,0.058649272402401975,4119912422,1374746293,113167454,3006049,0.3336833777482661,0.02746841253122152
Opportunity,Sale - Price & Item,Grocery,4272812,3854973,2779850192,1279744105,56611647,1124541,0.46036441412667317,0.020364999222950934,2946628364,1320327138,78482267,1320538,0.4480806450283664,0.026634599720428132
New Households,Sale - Price & Item,HBC,3284790,3184037,632290517,241865278,5718534,453271,0.3825223872525673,0.009044155884438165,2899093063,1177231431,31601882,2550470,0.4060688654753957,0.010900609712507184
Non-Loyal,Sale - Digital Coupon,Gift Cards,637860,591731,74504244,42698796,4116371,61354,0.5731055535574591,0.05525015460864216,24675179,13560476,736522,4512,0.5495593770565961,0.029848699375189944
Loyal,Diigital Coupons,Multi Department,5318081,4667219,106491429,51729543,7548584,67460,0.48576250206953275,0.07088442770356664,316736470,160863862,19733380,49804,0.5078791905460082,0.06230220346902269
